_id,author,category,etext,language,title,zipfile
3220,"Toland, John",Non-fiction,http://books.google.com/books?id=-PIGAAAAcAAJ&pg=PA5,English,Pantheisticon,http://www.archive.org/download/pantheisticon_0911_librivox/pantheisticon_0911_librivox_64kb_mp3.zip
3221,"Goethe, Johann Wolfgang von",Fiction,http://www.gutenberg.org/ebooks/2409 http://www.gutenberg.org/ebooks/2410 http://www.gutenberg.org/ebooks/2411,German,Wilhelm Meisters Wanderjahre oder die Entsagenden,http://www.archive.org/download/wilhelm_meisters_wanderjahre_rr_librivox/wilhelm_meisters_wanderjahre_rr_librivox_64kb_mp3.zip
3222,"Pope, Alexander",Poetry,http://www.gutenberg.org/etext/7409,English,"Essay on Criticism, An",http://www.archive.org/download/essay_criticism_0906_librivox/essay_criticism_0906_librivox_64kb_mp3.zip
3223,"Russell, George William",Poetry,http://www.gutenberg.org/etext/16615,English,Forgiveness,http://www.archive.org/download/forgiveness_0906_librivox/forgiveness_0906_librivox_64kb_mp3.zip
3224,"Leacock, Stephen",Non-fiction,http://www.gutenberg.org/etext/22651,English,"Unsolved Riddle of Social Justice, The",http://www.archive.org/download/unsolvedriddle_0906/unsolvedriddle_0906_64kb_mp3.zip
3225,Irenaeus,Non-fiction,http://www.archive.org/details/antenicenechrist05robe,English,Against Heresies,http://www.archive.org/download/against_heresies_1005_librivox/against_heresies_1005_librivox_64kb_mp3.zip
3226,"Bellamy, Edward",Fiction,http://www.gutenberg.org/etext/624,English,Looking Backward: 2000-1887,http://www.archive.org/download/lookingbackward_0909_librivox/lookingbackward_0909_librivox_64kb_mp3.zip
3227,"Leacock, Stephen",Fiction,http://www.gutenberg.org/etext/4020,English,Arcadian Adventures with the Idle Rich,http://www.archive.org/download/arcadian_adventures_0908_librivox/arcadian_adventures_0908_librivox_64kb_mp3.zip
3228,Various,Fiction,,German,Sammlung kurzer deutscher Prosa 014,http://www.archive.org/download/sammlung_prosa_014_0907_librivox/sammlung_prosa_014_0907_librivox_64kb_mp3.zip
3229,"Therese, Saint",Non-fiction,http://www.gutenberg.org/etext/16772,English,"Story of a Soul, The",http://www.archive.org/download/story_of_a_soul_ab_librivox/story_of_a_soul_ab_librivox_64kb_mp3.zip
3230,"Green, Anna Katharine",Fiction,http://www.gutenberg.org/files/21904/21904-8.txt,English,"Millionaire Baby, The",http://www.archive.org/download/millionaire_baby_1001_librivox/millionaire_baby_1001_librivox_64kb_mp3.zip
3232,"Maugham, W. Somerset",Fiction,http://www.gutenberg.org/ebooks/26854,English,Rain,http://www.archive.org/download/rain_bt_0906_librivox/rain_bt_0906_librivox_64kb_mp3.zip
3233,"Day, Clarence, Jr.",Fiction,http://www.gutenberg.org/etext/6882,English,This Simian World,http://www.archive.org/download/details.php?identifier=simianworld_0906_librivox/details.php?identifier=simianworld_0906_librivox_64kb_mp3.zip
3234,Unknown,Fiction,http://www.zeno.org/Literatur/M/Anonym/Epen/Das+Nibelungenlied?hl=nibelungenlied,German,"Nibelungenlied, Das",http://www.archive.org/download/nibelungenlied_ak_librivox/nibelungenlied_ak_librivox_64kb_mp3.zip
3235,"Leroux, Gaston",Fiction,http://www.gutenberg.org/etext/19035,French,"Fauteuil Hante, Le",http://www.archive.org/download/details.php?identifier=fauteuilhante_0911_librivox/details.php?identifier=fauteuilhante_0911_librivox_64kb_mp3.zip
3237,"Leacock, Stephen",Fiction,http://www.gutenberg.org/etext/20633,English,Winsome Winnie and other New Nonsense Novels,http://www.archive.org/download/winsome_winnie_0906_librivox/winsome_winnie_0906_librivox_64kb_mp3.zip
3238,"Burgess, Thornton W.",Fiction,http://www.gutenberg.org/etext/14958,English,Mother West Wind 'Why' Stories,http://www.archive.org/download/motherwestwind_why_0907_librivox/motherwestwind_why_0907_librivox_64kb_mp3.zip
3239,Various,Fiction,,English,Short Mystery Story Collection 005,http://www.archive.org/download/shortmysterycoll005_0908_librivox/shortmysterycoll005_0908_librivox_64kb_mp3.zip
3240,"Huneker, James",,,English,Chopin: the Man and His Music,
3241,"Lang, Andrew",Fiction,http://www.gutenberg.org/ebooks/128,English,"Arabian Nights Entertainments, The",http://www.archive.org/download/arabian_nights_0911_librivox/arabian_nights_0911_librivox_64kb_mp3.zip
3242,Various,Poetry,,English,Poems and Prose for the Departed Vol. 01,http://www.archive.org/download/poems_prose_departed_rg_librivox/poems_prose_departed_rg_librivox_64kb_mp3.zip
3243,"Maspero, Gaston",Non-fiction,http://www.gutenberg.org/ebooks/17322,English,"History Of Egypt, Chaldea, Syria, Babylonia, and Assyria, Vol. 2",http://www.archive.org/download/history_of_egypt_vol2_0910_hm_librivox1/history_of_egypt_vol2_0910_hm_librivox1_64kb_mp3.zip
3244,"Coolidge, Susan",Fiction,http://www.gutenberg.org/ebooks/15798,English,Clover,http://www.archive.org/download/clover_avs_librivox/clover_avs_librivox_64kb_mp3.zip
3245,"Ferber, Edna",Fiction,http://www.gutenberg.org/ebooks/352,English,Buttered Side Down,http://www.archive.org/download/buttered_side_down_1004_librivox/buttered_side_down_1004_librivox_64kb_mp3.zip
3247,"Brontë, Emily",Poetry,http://www.theotherpages.org/poems/bronte01.html#2,English,Remembrance,http://www.archive.org/download/remembrance_0906.poem_librivox/remembrance_0906.poem_librivox_64kb_mp3.zip
3248,"Housman, A. E.",Poetry,http://www.bartleby.com/123/13.html,English,When I Was One And Twenty,http://www.archive.org/download/when_i_was_one_and_twenty_0906_librivox/when_i_was_one_and_twenty_0906_librivox_64kb_mp3.zip
3249,"Spenser, Edmund",Poetry,http://www.uoregon.edu/~rbear/fqintro.html,English,"Faerie Queene Books 6 & 7, The",http://www.archive.org/download/faeriequeene6_0907_librivox/faeriequeene6_0907_librivox_64kb_mp3.zip
3250,"Spenser, Edmund",Poetry,http://www.archive.org/details/faeriequeenewith03spenuoft,English,"Faerie Queene Book 5, The",http://www.archive.org/download/faeriequeene5_0911_librivox/faeriequeene5_0911_librivox_64kb_mp3.zip
3251,"Spenser, Edmund",Poetry,http://www.uoregon.edu/~rbear/fqintro.html,English,"Faerie Queene Book 4, The",http://www.archive.org/download/faeriequeenebk4_0907_librivox/faeriequeenebk4_0907_librivox_64kb_mp3.zip
3252,"Spenser, Edmund",Poetry,.edu/~rbear/fqintro.htm,English,"Faerie Queene Book 3, The",http://www.archive.org/download/details.php?identifier=faeriequeene3_0906_librivox/details.php?identifier=faeriequeene3_0906_librivox_64kb_mp3.zip
3253,"Spenser, Edmund",,http://www.uoregon.edu/~rbear/fqintro.html,English,"Faerie Queene Book 2, The",http://www.archive.org/download/faeriequeene2_0907_librivox/faeriequeene2_0907_librivox_64kb_mp3.zip
3255,"Hoffmann, E. T. A.",Fiction,"http://www.zeno.org/Literatur/M/Hoffmann,+E.+T.+A./Erz%C3%A4hlungen,+M%C3%A4rchen+und+Schriften/Die+Serapionsbr%C3%BCder",German,Auswahl aus Die Serapionsbrüder,http://www.archive.org/download/serapionsbrueder_auswahl_hok_librivox/serapionsbrueder_auswahl_hok_librivox_64kb_mp3.zip
